,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
241,728,0,617.96,7,3,4,1,61,0,1,0,1,1
242,559,0,457.39,2,3,4,1,21,0,1,0,1,0
243,613,2,498.98,22,3,3,1,21,0,1,0,1,0
244,704,7,1013.72,20,1,4,0,95,1,1,0,1,0
245,923,8,749.59,10,3,4,0,43,0,2,0,2,0
246,802,2,763.53,11,3,4,1,61,1,1,0,1,1
247,1008,9,721.21,6,3,3,1,22,0,3,0,2,0
248,744,7,582.17,2.5,3,4,1,76,0,2,0,2,1
249,728,9,772.57,32,2,3,1,21,0,1,0,1,1
250,1611,3,1379.84,38,3,2,1,95,0,2,0,2,0
251,990,7,650.29,8,4,4,1,68,0,2,0,2,1
252,568,6,460.34,4,3,4,1,91,0,1,0,1,1
253,485,6,421,13,3,2,1,129,0,,1,1,0
254,585,6,564.52,22,3,4,1,83,0,1,0,1,0
255,1420,9,1293.39,12,4,4,1,8,1,2,0,3,0
256,900,2,496.26,7,3,4,1,37,1,2,0,2,1
257,901,2,794.94,16,3,4,1,5,0,2,0,2,0
258,900,7,640.62,6,3,4,1,124,2,2,0,2,0
259,694,2,575.24,30,0,4,1,115,0,1,0,1,1
260,670,9,652.02,16,3,4,1,102,0,1,0,2,1
261,837,7,667.97,6,3,3,1,24,1,2,0,2,0
262,704,6,850.99,20,1,4,1,95,0,1,0,1,0
263,580,6,453.43,5,4,4,1,102,0,1,0,1,0
264,1746,5,1850.93,9,0,3,1,91,0,2,0,3,1
265,1530,3,1302,16,3,4,1,23,2,2,0,3,1
266,786,2,652.98,9,3,4,1,8,1,1,0,2,1
267,560,9,471.82,15,3,4,1,65,0,1,0,1,0
268,975,6,639.57,21,3,4,1,27,0,2,0,2,0
269,776,0,568,15,3,4,1,61,0,2,0,1,0
270,836,2,560.97,4,4,4,1,81,0,2,0,2,0
271,425,2,405,0,1,4,1,122,0,1,0,1,0
272,900,2,670.61,34,0,3,1,71,0,2,0,1,0
273,977,7,902.96,12,3,4,1,81,1,2,0,2,0
274,1085,6,589.26,29,3,1,1,80,0,2,0,2,1
275,794,7,573.93,1,3,4,1,81,1,2,0,2,0
276,745,5,679.24,17,3,4,1,118,0,1,0,1,1
277,891,5,766.18,5,3,4,1,24,0,2,0,2,0
278,557,0,403.28,4,3,3,1,21,0,1,0,1,0
279,925,2,601,13,3,4,1,22,0,2,0,2,0
280,813,8,659,7,3,4,1,5,0,1,0,2,1
281,2125,8,2050,37,4,3,1,102,1,2,0,2,1
282,487,6,480.48,10,3,4,1,61,0,,1,1,0
283,785,6,639.11,18,4,4,1,118,0,2,0,1,1
284,1392,3,852.77,22,2,4,1,92,0,2,0,1,0
285,723,7,561.33,7,3,4,1,8,1,2,0,2,0
286,582,6,482.58,17,4,3,1,102,0,1,0,1,0
287,525,9,391.54,16,3,3,1,22,0,1,0,1,1
288,751,8,527.38,3,3,4,1,113,1,1,0,2,1
289,652,0,375,8,0,4,1,1,1,1,0,1,1
290,1302,2,929.66,21,3,4,1,118,1,2,0,2,1
291,737,6,531.43,10,3,4,1,72,0,2,0,1,0
292,540,6,389.55,5,3,3,1,7,0,1,0,1,1
293,596,9,538.16,3,3,4,1,47,0,1,0,1,1
294,600,9,455,1,0,4,0,108,1,2,0,2,0
295,606,0,512.94,11,4,4,1,118,1,1,0,1,1
296,850,7,834,10,3,3,1,107,1,2,0,2,1
297,868,3,853,13,3,4,1,119,1,2,0,2,0
298,750,6,544.55,5,3,3,1,91,0,1,0,1,1
